ID,target,f190486d6,58e2e02e6,eeb9cd3aa,9fd594eec,6eef030c1,15ace8c9f,fb0f5dbfe,58e056e12,20aa07010,024c577b9,d6bb78916,b43a7cfd5,58232a6fb,1702b5bf0,324921c7b,62e59a501,2ec5b290f,241f0f867,fb49e4212,66ace2992,f74e8f13d,5c6487af1,963a49cdc,26fc93eb7,1931ccfdd,703885424,70feb1494,491b9ee45,23310aa6f,e176a204a,6619d81fc,1db387535,fc99f9426,91f701ba2,0572565c2,190db8488,adb64ff71,c47340d97,c5a231d81,0ff32eb98,leaked_target_0,leaked_target_1,leaked_target_2,leaked_target_3,leaked_target_4,leaked_target_5,leaked_target_6,leaked_target_7,leaked_target_8,leaked_target_9,leaked_target_10,leaked_target_11,leaked_target_12,leaked_target_13,leaked_target_14,leaked_target_15,leaked_target_16,leaked_target_17,leaked_target_18,leaked_target_19,leaked_target_20,leaked_target_21,leaked_target_22,leaked_target_23,leaked_target_24,leaked_target_25,leaked_target_26,leaked_target_27,leaked_target_28,leaked_target_29,leaked_target_30,leaked_target_31,leaked_target_32,leaked_target_33,leaked_target_34,leaked_target_35,leaked_target_36,leaked_target_37,compiled_leak,nonzero_mean
000d6aaf2,38000000.0,1866666.66,12066666.66,700000.0,600000.0,900000.0,4100000.0,0.0,0.0,0.0,0.0,0.0,0.0,28000000.0,0.0,6050000.0,0.0,0.0,950000.0,0.0,0.0,1733333.34,0.0,13200000.0,3205000.0,2000000.0,0.0,1200000.0,0.0,0.0,0.0,400000.0,0.0,0.0,5000000.0,400000.0,0.0,0.0,0.0,0.0,0.0,38000000.0,38000000.0,38000000.0,0.0,38000000.0,0.0,38000000.0,0.0,0.0,0.0,38000000.0,38000000.0,0.0,38000000.0,38000000.0,0.0,0.0,38000000.0,0.0,38000000.0,0.0,0.0,0.0,0.0,0.0,38000000.0,0.0,38000000.0,0.0,38000000.0,0.0,38000000.0,0.0,38000000.0,38000000.0,0.0,0.0,38000000.0,38000000.0,2858972.5746231396
000fbd867,600000.0,0.0,2850000.0,2225000.0,1800000.0,800000.0,0.0,0.0,3300000.0,2200000.0,0.0,2000000.0,0.0,0.0,16000000.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,600000.0,0.0,0.0,600000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,4303260.567426916
0027d6b71,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473861.227665747
0028cbf45,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,401780.97292382707
002a68644,14400000.0,0.0,0.0,0.0,0.0,37662000.0,0.0,4000000.0,6700000.0,2000000.0,5400000.0,0.0,0.0,0.0,0.0,0.0,0.0,1180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567102.4894960895
002dbeb22,2800000.0,0.0,0.0,2800000.0,17000000.0,0.0,556000.0,0.0,0.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,17020000.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,2800000.0,0.0,2800000.0,2800000.0,2800000.0,0.0,0.0,0.0,2800000.0,0.0,2800000.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,2800000.0,914298.7457652183
003925ac6,164000.0,10000.0,4000.0,0.0,30000.0,0.0,0.0,0.0,4000.0,0.0,2000.0,0.0,4000.0,12000.0,0.0,33000.0,0.0,16000.0,0.0,0.0,10000.0,0.0,11000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0,14000.0,0.0,22000.0,6000.0,15000.0,360000.0,18000.0,0.0,0.0,0.0,164000.0,0.0,164000.0,0.0,0.0,0.0,0.0,0.0,0.0,164000.0,164000.0,164000.0,0.0,164000.0,0.0,0.0,164000.0,0.0,0.0,0.0,0.0,0.0,164000.0,0.0,164000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164000.0,0.0,164000.0,164000.0,177550.5055994032
003eb0261,600000.0,0.0,0.0,0.0,65000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960000.0,0.0,0.0,20000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,6744921.689204795
004b92275,979000.0,3333333.34,3925333.34,4000000.0,0.0,0.0,0.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,979000.0,979000.0,979000.0,979000.0,979000.0,979000.0,0.0,0.0,0.0,979000.0,979000.0,979000.0,0.0,979000.0,979000.0,979000.0,0.0,979000.0,979000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979000.0,0.0,979000.0,0.0,0.0,979000.0,979000.0,979000.0,0.0,979000.0,979000.0,96715.70421204329
0067b4fef,460000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,460000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460000.0,555501.9918531924
00689ee2c,1100000.0,0.0,8300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420000.0,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000000.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,2745122.1283861245
0069007ac,16000000.0,11200000.0,0.0,0.0,0.0,6800000.0,2800000.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,5100000.0,0.0,0.0,0.0,0.0,10000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,16000000.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0,539916.3139394474
006b60dd7,354000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354000.0,0.0,354000.0,0.0,354000.0,354000.0,354000.0,0.0,0.0,354000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354000.0,218900.71768815638
008057126,7000000.0,3300000.0,0.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,24600000.0,0.0,10000000.0,0.0,700000.0,8980000.0,0.0,40204000.0,3800000.0,0.0,6300000.0,5300000.0,3620000.0,2000000.0,23160000.0,0.0,0.0,3250000.0,0.0,0.0,35000000.0,0.0,0.0,200000.0,0.0,1100000.0,3200000.0,5600000.0,25020000.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,3987345.495017187
008825875,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821661.7342850374
0096e207e,800000.0,0.0,0.0,0.0,72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,1400328.5844865027
00c2deb75,200000.0,20000.0,200000.0,400000.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,381600.0,0.0,0.0,0.0,4000.0,177000.0,600000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,200000.0,0.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,200000.0,0.0,0.0,200000.0,200000.0,224940.61773722194
00ce2134f,3600000.0,700000.0,0.0,0.0,788000.0,0.0,0.0,0.0,1600000.0,0.0,10000000.0,2100000.0,0.0,0.0,2285714.28,12322857.14,40000000.0,1960000.0,3400000.0,1600000.0,800000.0,1866666.66,450000.0,0.0,0.0,22000000.0,3200000.0,0.0,0.0,0.0,8000000.0,1000000.0,6000000.0,2900000.0,11000000.0,20000000.0,1000000.0,0.0,0.0,6000000.0,4433333.34,3600000.0,0.0,0.0,0.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,0.0,0.0,0.0,3600000.0,3600000.0,0.0,0.0,3600000.0,0.0,3600000.0,0.0,0.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,0.0,0.0,0.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,3600000.0,1722384.130015246
00e7ba121,2786000.0,0.0,2324000.0,2580000.0,0.0,0.0,0.0,1700000.0,0.0,0.0,52820000.0,1630000.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842000.0,0.0,2786000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786000.0,1987736.9238680117
